epoch,auc,exact_match,learning_rate,loss,val_auc,val_exact_match,val_loss
0,0.7781818509101868,0.2777777910232544,0.0003000000142492354,0.6474424004554749,0.868160605430603,0.4540948271751404,0.7450634241104126
1,0.912674069404602,0.5390625,0.0002999667776748538,0.3934961259365082,0.9297287464141846,0.5772629380226135,0.7211577296257019
2,0.9515777826309204,0.6715856790542603,0.0002998670970555395,0.31637275218963623,0.9285686016082764,0.4965516924858093,0.6970391273498535
3,0.9698183536529541,0.7433449029922485,0.00029970103059895337,0.27324792742729187,0.9287664890289307,0.4684267044067383,0.6659936308860779
4,0.9774876832962036,0.7907986044883728,0.00029946863651275635,0.24638591706752777,0.9328386187553406,0.4684267044067383,0.6339106559753418
5,0.9828463792800903,0.8324652910232544,0.0002991700021084398,0.2272893637418747,0.9400914907455444,0.4615301489830017,0.5955662727355957
6,0.9897320866584778,0.8631365299224854,0.0002988053020089865,0.20164750516414642,0.9492747187614441,0.5315732955932617,0.5478573441505432
7,0.9917201995849609,0.8781828880310059,0.0002983746526297182,0.19023124873638153,0.9513007402420044,0.5790948271751404,0.5042757391929626
8,0.9947518110275269,0.8987268805503845,0.0002978782868012786,0.17496353387832642,0.9608427286148071,0.617241382598877,0.4588547646999359
9,0.9953207969665527,0.9068286418914795,0.00029731637914665043,0.16823703050613403,0.9713138937950134,0.7017241716384888,0.40679988265037537
10,0.9968562126159668,0.9322916865348816,0.0002966892207041383,0.156022310256958,0.9788855910301208,0.7724137902259827,0.35611212253570557
11,0.9969180822372437,0.9265046715736389,0.00029599707340821624,0.15392524003982544,0.9802889823913574,0.7880387902259827,0.31579190492630005
12,0.997289776802063,0.9398148059844971,0.00029524025740101933,0.14636503159999847,0.9892088174819946,0.8261853456497192,0.26933053135871887
13,0.9980857372283936,0.9424189329147339,0.0002944190928246826,0.14132924377918243,0.9985840916633606,0.9043103456497192,0.21838226914405823
14,0.9983904361724854,0.9493634104728699,0.00029353395802900195,0.13697105646133423,0.9995443820953369,0.9362069368362427,0.1864793449640274
15,0.9989540576934814,0.9623842239379883,0.00029258523136377335,0.12973162531852722,0.9990334510803223,0.9468749761581421,0.16999508440494537
16,0.9991928339004517,0.9615161418914795,0.00029157334938645363,0.1267433762550354,0.9997783899307251,0.965624988079071,0.14453831315040588
17,0.9992886185646057,0.9623842239379883,0.0002904987195506692,0.12257380038499832,0.9998891949653625,0.981249988079071,0.13007193803787231
18,0.9992033243179321,0.9693286418914795,0.0002893618948291987,0.12081116437911987,0.999975323677063,0.981249988079071,0.12035339325666428
19,0.9993070363998413,0.9710648059844971,0.00028816331177949905,0.11872303485870361,0.9999876618385315,0.996874988079071,0.10659895092248917
20,0.9998325705528259,0.9840856194496155,0.00028690355247817934,0.11150731146335602,1.0,1.0,0.10074086487293243
21,0.999412477016449,0.9765625,0.00028558316989801824,0.11476737260818481,1.0,0.996874988079071,0.09661167114973068
22,0.9996066689491272,0.9782986044883728,0.00028420271701179445,0.1109067052602768,0.9999998807907104,1.0,0.09357336908578873
23,0.9998020529747009,0.9861111044883728,0.00028276280499994755,0.10711181908845901,1.0,1.0,0.09069781750440598
24,0.9999237060546875,0.9887152910232544,0.0002812641323544085,0.10409297049045563,0.9999876618385315,0.9937499761581421,0.09501902759075165
25,0.9998632669448853,0.9866898059844971,0.0002797073102556169,0.10425057262182236,1.0,1.0,0.08819537609815598
26,0.9998493194580078,0.9849536418914795,0.00027809306629933417,0.10464149713516235,1.0,1.0,0.08850759267807007
27,0.9997926950454712,0.9884259104728699,0.00027642209897749126,0.10235239565372467,0.9999999403953552,1.0,0.0856718122959137
28,0.9996947050094604,0.9866898059844971,0.0002746951358858496,0.10330333560705185,1.0,1.0,0.08571428805589676
29,0.9998849630355835,0.9849536418914795,0.00027291299193166196,0.1010296642780304,1.0,1.0,0.08405577391386032
30,0.9999232888221741,0.9895833134651184,0.00027107642381452024,0.0980127602815628,1.0,1.0,0.08331088721752167
31,0.9998853206634521,0.9884259104728699,0.0002691862464416772,0.09882955253124237,1.0,1.0,0.08303572982549667
32,0.9999666213989258,0.9921875,0.00026724330382421613,0.09564696252346039,1.0,1.0,0.08395744860172272
33,0.9999321699142456,0.9887152910232544,0.0002652484690770507,0.09599845856428146,1.0,1.0,0.08205293118953705
34,0.9998520016670227,0.9895833134651184,0.0002632026153150946,0.09701522439718246,1.0,1.0,0.08154185861349106
35,0.9998888373374939,0.9921875,0.00026110667386092246,0.09485279023647308,1.0,1.0,0.08139561116695404
36,0.9999104738235474,0.9939236044883728,0.00025896154693327844,0.09361706674098969,1.0,0.9906250238418579,0.09040361642837524
37,0.9999252557754517,0.9921875,0.0002567682240623981,0.09333644807338715,1.0,1.0,0.08094429224729538
38,0.9999802112579346,0.9939236044883728,0.000254527636570856,0.09053779393434525,1.0,1.0,0.08021039515733719
39,0.9998834133148193,0.9913194179534912,0.0002522408321965486,0.09183472394943237,1.0,1.0,0.07988201081752777
40,0.9999805688858032,0.9956597089767456,0.00024990877136588097,0.08983100950717926,1.0,0.9931033849716187,0.08051095902919769
41,0.9999527931213379,0.9965277910232544,0.0002475325600244105,0.08974496275186539,1.0,1.0,0.07898635417222977
42,0.9999001026153564,0.9921875,0.00024511318770237267,0.09056545794010162,1.0,1.0,0.07876727730035782
43,0.9999868869781494,0.9913194179534912,0.00024265174579340965,0.08817559480667114,1.0,1.0,0.07845834642648697
44,0.9999968409538269,0.9947916865348816,0.000240149354794994,0.08712103962898254,1.0,1.0,0.0780140608549118
45,0.9999985098838806,0.9965277910232544,0.00023760710610076785,0.08580005913972855,1.0,1.0,0.07787404954433441
